year,species,lc.doy,lf.doy,sd.lc.doy,sd.lf.doy
1996,FAGR,290,299,1.48737834105448,2.73490758520886
1997,FAGR,286,294,5.22136144949976,6.33541061085853
1998,FAGR,282,291,2.05252742065918,3.75039409462621
1999,FAGR,281,295,8.96520234882889,14.2933515798005
2000,FAGR,277,294,1.1845205174578,3.48089324598588
2001,FAGR,284,298,3.26163411627592,5.71990155467688
2002,FAGR,298,309,3.47965185479345,2.63438424044497
2003,FAGR,285,298,3.12566040110088,3.32438595329548
2004,FAGR,297,311,5.54005109449459,5.08509022418688
2005,FAGR,303,313,4.2958391118026,2.73809678401714
2006,FAGR,290,309,7.41867613666383,7.95329620711171
2007,FAGR,295,314,1.32284886426255,1.80003174183682
2008,FAGR,292,308,1.04191433764301,5.57144454145348
2009,FAGR,295,308,1.62480759532924,2.1883244282045
2010,FAGR,295,310,2.77988865314322,2.88663298855116
2011,FAGR,297,317,2.60114006063085,2.25142566862014
2012,FAGR,294,303,5.82660989186986,7.44346229647868
2013,FAGR,292,305,1.18602260665403,1.43310934488822
2014,FAGR,296,307,3.39085559957653,5.48013677468477
2015,FAGR,302,310,20.1831058155366,21.7049454929636
2016,FAGR,302,317,17.2539729395711,12.4277176478157
2017,FAGR,299,308,8.6717305577897,7.5163366547095
2018,FAGR,302,313,4.76603144366703,2.30943283118207
2019,FAGR,294,302,3.33910389878577,2.21905831632097
2020,FAGR,291,301,2.86301973985051,7.93146256641672
2021,FAGR,289,308,2.10416875612456,5.10829607434909
2022,FAGR,288,298,7.00594741623667,5.3571885777883
2023,FAGR,285,301,4.63857488645923,7.09658074302913
1991,FRAM,273,284,6.94070884627407,7.08109737995796
1992,FRAM,277,293,1.14766497518121,1.63196699503055
1993,FRAM,271,288,13.3406861840852,13.861522430085
1994,FRAM,268,280,3.29664532140358,0.577200157369061
1995,FRAM,272,282,10.0508825372492,8.16156627425665
1996,FRAM,281,287,3.48468249750498,5.652109799713
1997,FRAM,278,290,3.66648522664089,4.75701825763557
1998,FRAM,277,287,9.7145456820714,14.4222515589699
1999,FRAM,275,283,4.8876984935944,2.04207558783486
2000,FRAM,275,287,5.02934874737914,2.15570217934576
2001,FRAM,276,284,7.28922773757308,12.0954736524728
